name,status
Marlin Agustina," Wakil Gubernur Kepulauan Riau"
Amsakar Achmad," Wakil Wali Kota Batam"
Soerya Respationo," mantan Wakil Gubernur Kepulauan Riau"
Iman Sutiawan," mantan Wakil Ketua DPRD Kota Batam"
Ria Saptarika," Anggota DPD-RI"
Lukita Dinarsyah Tuwo," Mantan Badan Pengusahaan Batam"
Arief Muhammad," S.H."
Taba Iskandar," Anggota DPRD Kepri"
Suryani," Mantan Anggota DPRD Kepri"
Raden Hari Cahyono," Wakil Ketua DPRD Kepri"
Nuryanto," Ketua DPRD Kota Batam"
Sirajuddin Nur," Anggota DPRD Kepri"
Mesrawati Tampubolon,Mantan Anggota DPRD kota Batam
