name,status
M. Dawam Rahardjo," Bupati Lampung Timur"
Azwar Hadi," Wakil Bupati Lampung Timur"
Zaiful Bokhari," Mantan Bupati Lampung Timur"
Hi. Ali Johan Arif," Ketua DPRD Lampung Timur"
Muhammad Khadafi Azwar," Anggota DPRD Prov. Lampung"
Garinca Reza Pahlevi," Anggota DPRD Prov. Lampung"
Ahmad Giri Akbar," Anggota DPRD Prov. Lampung"
Jihan Nurlela," Anggota DPD RI"
Noverisman Subing," Anggota DPRD Prov. Lampung"
Irfan Nuranda Djafar," Mantan Bupati Lampung Timur"
Fatikhatul Khoiriyah," Mantan Ketua Bawaslu Lampung"
Midi Iswanto," Anggota DPRD Prov. Lampung"
