name,status
Fauzi.," Mantan Wakil Bupati Pringsewu"
Ardian Saputra," Wakil Bupati Lampung Utara"
Maulana Muhammad Lahudin," Wakil Ketua DPRD Pringsewu"
Suherman," Ketua DPRD Pringsewu"
Mira Anita," Ketua DPC Demokrat Pringsewu"
Handitya Narapati," Mantan Wakil Bupati Pringsewu"
Ririn Kuswantari," Wakil Ketua DPRD Prov. Lampung"
Zunianto," Anggota DPRD Prov. Lampung"
Dewi Arimbi.," Mantan Cawabup Pringsewu 2017"
Siti Rahma," Anggota DPRD Prov. Lampung"
Heri Iswahyudi," Sekda Kabupaten Pringsewu"
