name,status
Dewi Handajani," Bupati Tanggamus"
AM. Syafi'i," Wakil Bupati Tanggamus"
Samsul Hadi," Mantan Bupati Tanggamus"
Mukhlis Basri," Anggota DPRD Prov. Lampung"
Heni Susilo," Anggota DPRD Prov. Lampung"
Joko Santoso," Anggota DPRD Prov. Lampung"
Heri Agus Setiawan," Ketua DPRD Kab. Tanggamus"
Nursalim Ahyono," Anggota DPRD Kab. Tanggamus"
Tedi Kurniawan," Wakil Ketua DPRD Kab. Tanggamus"
Moh Saleh Asnawi," Ketua DPD Nasdem Kota Tangerang Selatan"
Irwandi Suralaga," Wakil Ketua DPRD Kab. Tanggamus"
Imer Darius," Mantan Anggota DPRD Prov. Lampung"
