name,status
Winarti," Mantan Bupati Tulang Bawang"
Hendriwansyah," Mantan Wakil Bupati Tulang Bawang"
Hanan A. Rozak," Anggota DPR RI & Mantan Bupati Tulang Bawang"
Qodratul Ikhwan," Pj. Bupati Tulang Bawang"
Heri Wardoyo," Mantan Wakil Bupati Tulang Bawang"
Frans Agung Mula Putra," Mantan Anggota DPR RI"
Veri Agusli HTB," Anggota DPRD Prov. Lampung"
Supriyadi Alfian," Mantan Ketua PWI Lampung"
Semin.," Anggota DPRD Prov. Lampung"
Aliasan," Wakil Ketua DPRD Tulang Bawang"
Sopi'i Azhari," Ketua DPRD Tulang Bawang"
Kolonel Ahmad Yani,
Dedi Afrizal," Mantan Ketua DPRD Prov. Lampung"
