name,status
Dahlan M. Noer," Wakil Bupati Bima"
Syafruddin H.M. Nur," Mantan Bupati Bima"
Ady Mahyudi," Mantan Anggota DPRD NTB"
Herman Alfa Edison," Pengusaha"
Mujahid Abdul Latief," Wakil Ketua DPD NTB Partai Gerindra"
Hermawan Saputra," Akademisi"
Muhammad Syafrudin," Anggota DPR RI"
Muhammad Putera Ferryandi," Ketua DPRD Kab. Bima"
Edy Muhlis," Anggota DPRD Kab. Bima"
Muhammad Erwin," Anggota DPRD Kab. Bima"
dr.H.Sanusi H. Ibrahim," Pemilik RS. Anggrek Mas"
Mahdalena," Anggota DPRD Kab. Bima"
