name,status
Sumiatun," Wakil Bupati Lombok Barat"
Putra Nauvar F Farinduan," Anggota DPRD NTB"
Izzul Islam," Mantan Wakil Bupati Lombok Barat"
TGH Muammar Arafat," Ketua PC NU Kota Mataram"
TGH Mahalli Fikri," Anggota DPRD NTB"
Lalu Ahmad Ismail," Anggota DPRD NTB"
Umar Said," Anggota DPRD NTB"
Hasanain Juaini," Pimpinan Pondok Pesantren Nurul Haramain"
TGH Satriawan," Anggota DPRD NTB"
HL. Ahmad Zaini," Direktur Utama PDAM Giri Menang"
Hj. Nurul Adha," Wakil Ketua I DPRD Lombok Barat"
Ibnu salim," Inspektorat Provinsi NTB"
