name,status
Lalu Pathul Bahri," Bupati Lombok Tengah"
Nursiah," Wakil Bupati Lombok Tengah"
Masrun," Mantan Kepala Dinas Tenaga Kerja dan Transmigrasi Kab. Lombok Tengah"
Ahmad Ziadi," Mantan Anggota DPRD Kab. Lombok Tengah"
M. Tauhid," Ketua DPRD Kab. Lombok Tengah"
M. Mayuki," Wakil Ketua DPRD Kab. Lombok Tengah"
Lalu Abdul Kadir," Ketua DPD PKS Lombok Tengah"
Lalu Satriawandi," Anggota DPRD Prov. NTB"
M. Adung," Anggota DPRD Prov. NTB"
Yek Agil," Anggota DPRD Prov. NTB"
Muazzim Akbar," Ketua DPW PAN NTB"
Humaidi," Ketua DPD Golkar Lombok Tengah"
Lalu Suryade," Mantan Anggota DPRD Prov. Jabar"
Ruslan Turmuzi," Anggota DPRD Prov. NTB"
Lalu Pelita Putra," Ketua DPC PKB Lombok Tengah"
Brigjen TNI (Purn.) Lalu Rudy Irham Srigede," Mantan Komandan Korem 162/Wira Bhakti"
