name,status
Rumaksi," Wakil Bupati Lombok Timur"
Haerul Warisin," Anggota DPRD Prov. NTB"
Muhammad Khairul Rizal," Ketua DPW Perindo NTB"
Achmad Sukisman Azmy," Anggota DPD-RI"
Baiq Isvie Rupaeda," Ketua DPRD Prov. NTB"
Abdul Hadi.," Anggota DPRD Prov. NTB"
TGH Mahalli Fikri," Anggota DPRD Prov. NTB"
M. Syamsul Luthfi," Anggota DPR-RI"
Usmar Iwan Surumbian," Mantan Anggota DPRD Prov. NTB"
Lale Syifaun Nufus," Ketua PP Muslimat Nahdlatul Wathan"
TGH. Wildan Dzikrullah," Anggota DPRD Kab. Lombok Timur"
Daeng Paelori," Wakil Ketua DPRD Kab. Lombok Timur"
Tanwirul Anhar," Anggota DPRD Kab. Lombok Timur"
Najamuddin Moestafa," Anggota DPRD Prov. NTB"
