name,status
Fransiskus Roberto Diogo," Bupati Sikka"
Romanus Woga," Wakil Bupati Sikka"
Alexander Longginus," Mantan Bupati Sikka"
Yoseph Ansar Rera," Mantan Bupati Sikka"
Lusia Adinda Dua Nurak," Mantan Ketua TP PKK Provinsi NTT 2008-18"
Donatus David," Ketua DPRD Kab. Sikka"
Yosef Karmianto Eri," Wakil Ketua I DPRD Kab. Sikka"
Gorgonius Nago Bapa," Wakil Ketua II DPRD Kab. Sikka"
Filario Charles Bertrandi," Anggota DPRD Kab. Sikka"
Leonardus Lelo," Anggota DPRD NTT"
Petrus Herlemus," Kepala Dinas P2KBP3A kabupaten Sikka"
