name,status
Dani M. Nursalam," Anggota DPRD Riau"
Syamsuddin Uti," Wakil Bupati Indragiri Hilir"
HM Yusuf Said," Mantan Anggota DPRD Inhil 2004-14"
Agustian Rasmanto," Mantan Direktur PDAM TI Inhil"
Muamar AR," Anggota DPRD Inhil"
Dr H Ferryandi," Ketua DPRD Inhil"
Andi Rusli," Wakil Ketua DPRD Inhil"
Muhammad Andry Suganda," Anggota DPRD Inhil"
Septina Primawati," Anggota DPRD Riau"
Ustadz Suhaidi," Anggota DPRD Riau"
Abdul Wahid," Anggota DPR-RI"
Ikbal Sayuti," Politikus PPP"
Edy Safwannur,"  Mantan Cabup Inhil 2013"
Said Syarifuddin," Mantan Sekda Inhil"
