name,status
Rezita Meylani," Bupati Indragiri Hulu"
Junaidi Rachmat," Wakil Bupati Indragiri Hulu"
Siti Aisyah," Mantan Cabup Inhu 2020"
Agus Rianto.," Mantan Sekda Indragiri Hulu"
Ade Agus Hartanto," Anggota DPRD Riau"
Brigjen. Pol. (Purn.) Drs. Raja Haryono," Mantan Analis Kebijakan Utama bidang Pidnarkoba Bareskrim Polri"
Zulfahmi Adrian," Kasatpol PP Kota Pekanbaru"
Johny Setiawan Mundung," Tenaga Ahli Gubernur Riau Bidang Lingkungan Hidup dan Kehutanan Riau"
Rizal Zamzami," Mantan Cabup Inhu 2020"
Suradi," Mantan Anggota DPRD Inhu"
Khairizal," Mantan Wakil Bupati Indragiri Hulu"
Yulisman," Ketua DPRD Riau"
