name,status
Repol,S.Ag
Dasril Affandi," Pengacara kondang dan Dewan Kehormatan DPD PAN Kabupaten Kampar"
Catur Sugeng Susanto," Mantan Bupati Kampar"
Afrizal Hidayat," Anak Mantan Bupati Kampar Azis Zaenal"
Yuyun Hidayat," Anggota DPRD Prov. Riau"
Muhammad Faisal.," Ketua DPRD Kab. Kampar"
Fahmil," Wakil Ketua DPRD Kab. Kampar"
Rahmat Jevary Juniardo," Ketua DPC Demokrat Kampar"
Nurzafri," Anggota DPRD Prov. Riau"
Ardiansyah," Anggota DPRD Prov. Riau"
Zulher," Mantan Sekda Kabupaten Kampar"
Syahrul Aidi Maazat," Anggota DPR-RI"
Masnur," Mantan Ketua DPRD Kampar"
Hasrul," Politikus Gerindra"
Tamaruddin," Ketua DPD PKS Kampar"
