name,status
Asmar," Plt. Bupati Kepulauan Meranti"
Mahmuzin Taher," Mantan Ketua DPC Partai Gerindra Kepulauan Meranti"
Hery Saputra," Mantan Kabag Kesra Setda Kepulauan Meranti"
Said Hasyim," Mantan Wakil Bupati Kepulauan Meranti"
Masrul Kasmy," Mantan Wakil Bupati Kepulauan Meranti"
Falzan Surahman," Ketua KPID Riau"
Yulian Norwis," Mantan Sekda Kabupaten Kepulauan Meranti"
Tengku Mustafa," Mantan Ketua DPC Hanura Kepulauan Meranti"
Nirwana Sari," Anggota DPRD Kepulauan Meranti"
Iskandar Budiman," Wakil DPRD Kepulauan Meranti"
Fauzi Hasan," Anggota DPRD Kepulauan Meranti"
Roni Samudra," Pengusaha"
Muzamil Baharuddin," Ketua DPC Demokrat Kepulauan Meranti"
Muhammad Fadhly Putra," Putra Mantan Bupati Kepulauan Meranti Muhammad Adil"
Hafizan Abas," Anggota DPRD Kepulauan Meranti"
