name,status
Dr. Desmelati," M.Sc"
Indra Gunawan," Wakil Bupati Rokan Hulu"
Hafith Syukri," Mantan Wakil Bupati Rokan Hulu"
Gustian Riau," Kepala Dinas Perindustrian dan Perdagangan Kota Batam"
Sari Antoni,"  Anggota DPRD Prov. Riau"
Kelmi Amri," Anggota DPRD Prov. Riau"
Adam Syafaat," Anggota DPRD Prov. Riau"
Syamsurizal.," Anggota DPRD Prov. Riau"
Novli Wanda Ade Putra," Ketua DPRD Kab. Rokan Hulu"
Budiman Lubis," Ketua DPC Gerindra Rokan Hulu"
Syafaruddin Poti," Wakil Ketua DPRD Prov. Riau"
