name,status
Muflihun," S.STP."
Erizal Muluk," Mantan Wakil Wali Kota Pekanbaru"
Ayat Cahyadi," Mantan Wakil Wali Kota Pekanbaru"
Dastrayani Bibra," Mantan Cawalkot Pekanbaru 2017"
Ida Yulita Susanti," Anggota DPRD Kota Pekanbaru"
Aidil Amri," Anggota DPRD Kota Pekanbaru"
Tengku Azwendi Fajri," Wakil Ketua DPRD Kota Pekanbaru"
Muhammad Aulia," Anggota DPRD Prov. Riau"
Sofyan Siroj Abdul Wahab," Anggota DPRD Prov. Riau"
Ade Hartati Rahmat," Anggota DPRD Prov. Riau"
Irvan Herman," Wasekjen PAN"
Rizky Bagus Oka," Ketua BPC HIPMI Pekanabru"
Zulfan Hafiz," Mantan Anggota DPRD Kota Pekanbaru"
Sayed Abubakar A Assegaf," Politisi Demokrat"
