name,status
Paris Yasir," Wakil Bupati Jeneponto"
Mulyadi Mustamu," Mantan Wakil Bupati Jeneponto"
Muhammad Sarif," Anggota DPRD Sulsel"
Vonny Ameliana Suardi," Anggota DPRD Sulsel"
Isman Tryadi Iksan," Putra Bupati Jeneponto"
Andi Tahal Fasni," Mantan Anggota DPRD Jeneponto"
Syamsuddin Karlos," Anggota DPRD Sulsel"
Arifuddin," Ketua DPRD Jeneponto"
Hamsiah Iksan," Ketua TP PKK Kabupaten Jeneponto"
Ashari Fakhsirie Radjamilo," Kepala Dinas Koperasi dan Usaha Kecil Menengah Sulsel"
Syafruddin Nurdin," Mantan Sekda Jeneponto"
Imam Taufiq Bohari," Wakil Ketua DPRD Jeneponto"
