name,status
M. Thahar Rum," Mantan Wakil Bupati Luwu Utara"
Suaib Mansur," Wakil Bupati Luwu Utara"
Arsyad Kasmar," Mantan Calon Bupati Luwu Utara 2020"
Arifin Junaidi," Mantan Bupati Luwu Utara"
Basir," Ketua DPRD Luwu Utara"
Karemuddin," Wakil Ketua DPRD Luwu Utara"
Hafidah Rauf Basyuri," Mantan Anggota DPRD Luwu"
Andi Syafiuddin Patahuddin," Anggota DPRD Sulsel"
Pardenga," Mantan Anggota DPRD Luwu Utara"
Marjono," Anggota DPRD Sulsel"
Muhammad Fauzi," Anggota DPR RI"
Putri Dakka," Ketua DPD NasDem Luwu Utara"
Annas Ahmad," Mantan Direktur RSUD Pangkep"
Dewi Sartika Pasande," Pengusaha"
Saltima Ri'pi Tandjong," Pengusaha"
