name,status
Chaidir Syam," Bupati Maros & Ketua DPD PAN Maros"
Suhartina Bohari," Wakil Bupati Maros & Ketua DPD II Partai Golkar Maros"
Sahiruddin Malik," Pengusaha & Ketua DPD NasDem Maros"
Andi Ilham Nadjamuddin," Eks birokrat di Pemkab Maros"
Yusran Jusuf," Akademisi di Universitas Hasanuddin & eks penjabat Wali Kota Makassar"
Muhammad Ramli Rahim," Pengusaha & eks ketua umum Ikatan Guru Indonesia"
Muhammad Nur Mahmud," Purnawirawan Kopassus TNI pangkat kolonel"
Muhammad Ilyas," Advokat"
Wawan Mattaliu," Eks Anggota DPRD Sulawesi Selatan"
Lukman Waris," Akademisi dan eks birokrat di Kementerian Kesehatan Republik Indonesia"
Andi Harmil Mattotorang," Eks Wakil Bupati Maros & eks Ketua DPD NasDem Maros"
Andi Patarai Amir," Ketua DPRD Kabupaten Maros"
Andi Tajerimin Nur," Pengusaha & Ketua Dewan Penasehat Kerukunan Keluarga Sulawesi Selatan (KKSS)"
Irfan AB," Ketua Badan Kehormatan DPRD Provinsi Sulawesi Selatan"
Havid Fasha," Eks Anggota DPRD Kabupaten Maros & Ketua DPC PKB Maros"
Muzayyin Arif," Wakil Ketua IV DPRD Provinsi Sulawesi Selatan"
Devo Khadafi," Birokrat sebagai Sekretaris Dinas Pariwisata dan Kebudayaan di Pemprov Sulawesi Selatan"
Muhammad Ferdiansyah," Birokrat sebagai Kepala Dinas Kebudayaan dan Pariwisata di Pemkab Maros"
Andi Sudirman," Anggota DPRDKabupaten Maros dari Partai Hanura"
