name,status
Andi Irwan Hamid," Bupati Pinrang"
Alimin.," Wakil Bupati Pinrang"
Usman Marham," Ketua DPD II Golkar Pinrang"
Jamaluddin Jafar," Mantan Anggota DPR RI"
Ahmad Jaya Baramuli," Wakil Ketua DPRD Pinrang"
Irwan Hasyim," Ketua DPD PKS Pinrang"
Andi Patoppoi," Mantan Ketua DPD PAN Pinrang"
Mahyuddin Abdullah," Ketua Bappilu DPD II Golkar Pinrang"
Azhar Arsyad," Anggota DPRD Sulsel"
Kartini Lolo," Anggota DPRD Sulsel"
Abd. Rahim Mas P. Sanjata," Direktur Program Pascasarjana Universitas Islam Makassar"
Abdillah Natsir," Politisi Golkar"
A.P.A Timo Pangerang," Mantan Anggota DPR RI"
