name,status
Dollah Mando," Bupati Sidrap"
Mahmud Yusuf," Wakil Bupati Sidrap"
Ruslan," Ketua DPRD Sidrap"
Ahmad Salihin," Anggota DPRD Sidrap"
Abdul Rahman Mustafa," Anggota DPRD Sidrap"
Zulkifli Zain," Anggota DPRD Sulsel"
Syaharuddin Alrif," Wakil Ketua I DPRD Sulsel"
Badaruddin Puang Sabang," Ketua Umum PPBTPI"
Agus Arifin Nu'mang," Mantan Wakil Gubernur Sulawesi Selatan"
A. Sukri Baharman," Mantan Ketua DPRD Sidrap"
Andi Faisal Ranggong," Kepala Dinas Lingkungan Hidup Kabupaten Sidrap"
Takyuddin Masse," Mantan Anggota DPRD Sidrap"
Bahar Yahya," Pengusaha"
Andi Parenrengi," Mantan Kepala Dinas Kehutanan Provinsi Sulsel"
