name,status
Badrun Nggai," Wakil Bupati Parigi Moutong"
Noor Wachida Prihartini," Ketua TP-PKK Kabupaten Parigi Moutong"
Zalzulmida A. Djanggola," Wakil Ketua DPRD Prov. Sulteng"
Erwin Burase," Anggota DPRD Prov. Sulteng"
Ibrahim A. Hafid," Anggota DPRD Prov. Sulteng"
Faisan Badja," Wakil Ketua DPRD Kab. Parigi Moutong"
Muhammad Fadli," Anggota DPRD Kab. Parigi Moutong"
Sayutin Budianto," Ketua DPRD Kab. Parigi Moutong"
Ardi Kadir," Mantan Sekdakab Parigi Moutong"
Amrullah Almahdali," Mantan Anggota DPRD Prov. Sulteng"
Moh. Nur Dg. Rahmatu," Anggota DPRD Prov. Sulteng"
