name,status
Rasyid," Wakil Bupati Konawe Selatan"
Muhammad Endang," Mantan Wakil Ketua DPRD Sultra"
Nurlin Surunuddin," Anggota DPRD Sultra"
Wahyu Ade Pratama Imran," Ketua DPC Gerindra Kabupaten Konawe"
Mahar Buburanda Imran," Mantan Kepala Dinas Pariwisata Konsel"
Leni Andriani," Putri Bupati Konawe Selatan Surunuddin Dangga"
Irham Kalenggo," Ketua DPRD Konawe Selatan"
Nadira," Anggota DPRD Konawe Selatan"
Radhan Nur Alam," Putra Mantan Gubernur Sultra Nur Alam"
Adi Jaya Putra," Ketua KONI Konawe Selatan"
Armal," Wakil Ketua DPRD Konawe Selatan"
