name,status
Siska Karina Imran," Mantan Wakil Wali Kota Kendari"
Asmawa Tosepu," Pj Wali Kota Kendari"
Musadar Mappasomba," Mantan Wakil Wali Kota Kendari"
Asrizal Pratama Putra," Anggota DPRD Sultra"
Aksan Jaya Putra," Anggota DPRD Sultra"
Sudarmanto," Anggota DPRD Sultra"
Sudirman.," Anggota DPRD Sultra"
Subhan," Ketua DPRD Kota Kendari"
Abdul Razak.," Mantan Anggota DPRD Kota Kendari"
Samsuddin Rahim," Wakil Ketua DPRD Kota Kendari"
Sitya Giona Nur Alam," Ketua DPW Garnita Malahayati Partai Nasdem Sultra"
Abdul Rahman," Ketua Peradi Kota Kendari"
La Ode Muh. Inarto," Wakil Ketua DPRD Kota Kendari"
