name,status
Andri Warman," Bupati Agam"
Irwan Fikri," Wakil Bupati Agam"
Trinda Farhan Satria," Mantan Wakil Bupati Agam"
Ekos Albar," Wakil Wali kota Padang"
Hariadi," Mantan Cabup Agam 2020"
Ardinal Hasan," Mantan Wakil Bupati Agam"
Novi Irwan," Ketua DPRD Kab. Agam"
Suharman," Wakil Ketua DPRD Kab. Agam"
Irfan Amran," Wakil Ketua DPRD Kab. Agam"
Aderia," Ketua DPC Demokrat Kab. Agam"
Ade Rezki Pratama," Anggota DPR-RI"
Martias Wanto," Sekdako Bukittinggi"
Lazuardi Erman," Ketua DPD Partai Golkar Kabupaten Agam"
Syafirman," Mantan Sekretaris Daerah Kabupaten Agam"
Syafrizal," Mantan Anggota DPRD Kab. Agam"
Azwar Risman Taher," Mantan Sekretaris Daerah Kabupaten Agam"
