name,status
Safaruddin Datuak Bandaro Rajo," Bupati Lima Puluh Kota"
Rizki Kurniawan Nakasri," Wakil Bupati Lima Puluh Kota"
Irfendi Arbi," Mantan Bupati Lima Puluh Kota"
Muhammad Rahmad," Mantan Cabup Lima Puluh Kota 2020"
Darman Sahladi," Mantan Anggota DPRD Sumbar"
Asyirwan Yunus," Mantan Wakil Bupati Lima Puluh Kota"
Deni Asra," Ketua DPRD Lima Puluh Kota"
Yos Sariadi," Anggota DPRD Lima Puluh Kota"
Ahlul Badrito Resha," SH"
Mulyadi Muslim," Politisi PKS"
Nurkhalis Dt. Bijo Dirajo," Mantan Anggota DPRD Sumbar"
Ilson Chong," Ketua DPD Nasdem Lima Puluh Kota"
Hj Aida," Ketua umum PBSI Limapuluh Kota"
Catur Virgo DT. Paduko Rajo,
Ekos Albar," Wakil Wali Kota Padang"
Rezka Oktoberia," Anggota DPR RI"
