name,status
Danny Ismaya   SP Dt Sandaran," Wakil Ketua DPRD Pasaman"
Sabar A.S.," Wakil Bupati Pasaman"
Daniel Lubis," Mantan Wakil Bupati Pasaman"
Rahmat Saleh," Anggota DPRD Sumatera Barat"
Atos Pratama," Mantan Wakil Bupati Pasaman"
Yasri," Wakil Ketua DPRD Pasaman"
Nelfri Asfandi,"  Ketua DPD PKS Pasaman"
Bustomi," Ketua DPRD Pasaman"
Ristawadi," Anggota DPRD Pasaman"
Hasbullah Nasution," Politisi Nasdem"
Heri Supriadi,"  Mantan Anggota DPRD Pasaman"
Dalhas Edward," Pengusaha"
Wahyudil Hayat," Tokoh Pendidikan"
Sudirman Pasaribu," mantan Kasibinlat Subditbinsatpam/Polsus Ditbinmas Polda Sumut"
Letkol.Partomuan Tanjung," mantan Dan POM I/4 Padang"
