name,status
Rusma Yul Anwar," Bupati Pesisir Selatan"
Rudi Hariyansyah," Wakil Bupati Pesisir Selatan"
Hendrajoni," Mantan Bupati Pesisir Selatan"
Hamdanus," Mantan Anggota DPRD Sumbar"
Muchlis Yusuf Abit," Anggota DPRD Sumbar"
Ali Tanjung," Ketua Fraksi Demokrat DPRD Sumbar"
Muhayatul," Ketua Fraksi PAN DPRD Sumbar"
Risnaldi Ibrahim," Mantan Anggota DPRD Sumbar"
Syaiful Ardi," Mantan Anggota DPRD Sumbar"
Editiawarman," Mantan Wakil Bupati Pesisir Selatan"
Afrizon Nazar Uncu," Ketua DPC Gerindra Pesisir Selatan"
Saidal Masfiyuddin," Mantan Anggota DPRD Sumbar"
Alirman Sori," Anggota DPD RI"
Zulhendri Chaniago," Mantan Anggota DPR RI"
Denis Saputra," Putra Mantan Wakil Gubernur Sumbar Nasrul Abit"
