name,status
Eka Putra," Bupati Tanah Datar"
Richi Aprian," Wakil Bupati Tanah Datar"
Ekos Albar," Wakil Wali Kota Padang"
Weno Aulia Durin," putra Hasan Basri Durin"
Zuldafri Darma," Mantan Wakil Bupati Tanah Datar"
Betti Shadiq Pasadigoe," Mantan Anggota DPR-RI"
Hendra Irwan Rahim," Anggota DPRD Prov. Sumbar"
Arkadius. Dt. Intan Bano," Anggota DPRD Prov. Sumbar"
Budiman Dt. Malano Garang," Anggota DPRD Prov. Sumbar"
Bukhari Dt. Tuo," Anggota DPRD Prov. Sumbar"
Jefri Masrul,"  Anggota DPRD Prov. Sumbar"
Mesra,"  Anggota DPRD Prov. Sumbar"
Yuherman,
