name,status
Hendri Septa," Wali Kota Padang"
Rahmat Saleh," Anggota DPRD Sumatera Barat"
Weno Aulia Durin," putra Hasan Basri Durin"
Ekos Albar," Wakil Walikota Padang dan Wabendum PAN."
Muharlion," Anggota DPRD Kota Padang"
Syafrial Kani," Ketua DPRD Kota Padang"
Desrio Putra," Anggota DPRD Sumbar"
Maigus Nasir," Anggota DPRD Sumbar"
Adib Alfikri," Kepala DPM&PTSP Prov Sumbar"
Desri Ayunda," Mantan Cawalkot Padang 2013"
Mohammad Ichlas El Qudsi," Mantan Cawalkot Padang 2013"
Fadly Amran," Wali Kota Padang Panjang"
Andre Rosiade," Anggota DPR RI"
