name,status
Benny Mukhtar," mantan Wakil Wali Kota Payakumbuh"
Arief Muhammad," S.H."
Syamsul Bahri," mantan Wakil Wali Kota Payakumbuh"
Erwin Yunaz," mantan Wakil Wali Kota Payakumbuh"
Ekos Albar," Wakil Wali kota Padang"
Wulan Denura," Wakil Ketua I DPRD Kota Payakumbuh"
Hamdi Agus," Ketua DPRD Kota Payakumbuh"
Yendri Bodra Datuak Parmato Alam," Anggota DPRD Kota Payakumbuh"
Supardi," Ketua DPRD Sumbar"
Irsyad Syafar," Wakil Ketua I DPRD Sumbar"
Henny Yusnita Zubir," Mantan Ketua TP-PKK Kota Payakumbuh"
Catur Virgo," Politisi PKS"
Welya Safitri," Ketua Umum Gerakan Perempuan ICMI"
Zeki Oktariza Karini," Kasubagbin Kejari Pariaman"
Almaisyar," Direktur Pemasaran PT. Asuransi Eka Lloyd Jaya"
Ahmad Ridha," Anggota DPRD Kota Payakumbuh"
