name,status
Askolani," Bupati Banyuasin"
Slamet Somosentono," Wakil Bupati Banyuasin"
Suman Asra Supriono," Sekda Provinsi Sumsel"
Muhammad Yaser," Anggota DPRD Prov. Sumsel (Menantu Gubernur Sumsel Herman Deru)"
Arkoni MD," Mantan Cabup 2018"
Ahmad Zarkasih," Wakil Ketua DPRD Kab. Banyuasin"
Noor Ishmatuddin," Wakil Ketua DPRD Kab. Banyuasin"
Irian Setiawan," Ketua DPRD Kab. Banyuasin"
Iis Harianto," Anggota DPRD Kab. Banyuasin"
Samsul Rizal," Anggota DPRD Kab. Banyuasin"
Ahmad Nurcholis," Anggota DPRD Kab. Banyuasin"
Sri Fitriyanti," Mantan Ketua TP PKK Kabupaten Banyuasin"
Nadia Basyir," Anggota DPRD Prov. Sumsel"
Nasrul Halim," Anggota DPRD Prov. Sumsel"
Muhamad F. Ridho," Anggota DPRD Prov. Sumsel"
Agus Saputra Holidu," Ketua AMB"
Rindar Mandela,S.H.
