name,status
Ahmad Usmarwi Kaffah," Plt Bupati Muara Enim"
Nurul aman mantan wakil bupati MUARA ENIM 2008-2018,
Shinta Paramita Sari," Mantan Cabup Pilkada Muara Enim 2018"
Hanan Zulkarnain," Mantan Wakil Bupati Muara Enim"
H. Edison," S.H."
A Dessi Puspa Asni," Ketua PERWOSI Muara Enim"
Lia Anggraini," Anggota DPRD Prov. Sumsel"
Syamsul Bahri," Anggota DPRD Prov. Sumsel"
Ermanadi," Wakil Ketua DPRD Kab. Muara Enim"
Izudin Efendi," Anggota DPRD Kab. Muara Enim"
H. Rani Kodim," Anggota DPRD Kab. Muara Enim"
Hadiono," Wakil Ketua DPRD Kab. Muara Enim"
Komarudin Djinab," adik mantan Bupati Muara Enim"
Firdaus," Anggota DPRD Prov. Sumsel"
