name,status
Beni Hernedi," mantan Wakil Bupati Musi Banyuasin"
Lucianty Pahri," Mantan Ketua TP-PKK Kabupaten Musi Banyuasin"
Uzer Effendi," Mantan Anggota DPRD Sumsel"
Erini Mutia Yufada," Mantan Ketua TP-PKK Kabupaten Musi Banyuasin"
Apriyadi," Penjabat Bupati Kabupaten Musi Banyuasin"
Lury Elza Alex Noerdin," Adik Dodi Reza Alex Noerdin yang terjerat kasus korupsi"
Junsak Hasanudin," Anggota DPRD Muba"
Ade Karyana," mantan Kepala Dinas Pendidikan Sumsel"
Zoelkarnain Noerdin," mantan Kepala Dinas Kesehatan Sumsel"
Agung Firman Sampurna," Ketua Umum PBSI"
