name,status
M. Dja'far Shodiq," Wakil Bupati OKI"
M Alki Ardiansyah Iskandar," Putra Bupati OKI Iskandar"
Muchendi Mahzareki," Wakil Ketua DPRD Sumsel"
Abdiyanto," Ketua DPRD OKI"
Ali Imron," Anggota DPRD Sumsel"
Yusuf Mekki," Mantan Ketua DPRD OKI"
Ike Mayasari," Anggota DPRD Sumsel"
Nawawi," Anggota DPRD Sumsel"
Sri Sutandi," Anggota DPRD Sumsel"
Junaidi," Ketua DPD PAN Kabupaten OKI"
Nanda," Wakil Ketua DPRD OKI"
Bakri Tarmusi," Wakil Ketua DPRD OKI"
Tobroni Harun," Mantan Wakil Wali Kota Bandar Lampung"
Zaitun Mawardi Yahya," Putri Wakil Gubernur Sumsel Mawardi Yahya"
Muhammad Rifa'i," Mantan Wakil Bupati Ogan Komering Ilir"
