name,status
Sholehien Abuasir," Wakil Bupati Ogan Komering Ulu Selatan"
Ahmad Aman Astra," Wakil Ketua DPD Partai Demokrat Provinsi Sumatera Selatan"
Wahab Nawawi," Mantan Anggota DPRD Sumsel"
Heru Prayogo," Anggota DPRD Sumsel"
M Faisal Ranopa," Mantan Anggota DPRD Kabupaten OKU Selatan"
Iwan Hermawan," Anggota DPRD Sumsel"
Tofan Maulana," Anggota DPR RI"
IPTU Abusama," Mantan Kapolsek Banding Agung"
Isyana Lolitasari Popo," Ketua TP PKK OKU Selatan"
Yohana Yuda Yanti," Wakil Ketua DPRD Kabupaten OKU Selatan"
Heri Martadinata," Ketua DPRD Kabupaten OKU Selatan"
Carles Minarko," Wakil Ketua DPRD Kabupaten OKU Selatan"
Hengki Tispa," Pengusaha"
