name,status
Lanosin Hamzah," Bupati Ogan Komering Ulu Timur"
Adi Nugraha Purna Yudha," Wakil Bupati Ogan Komering Ulu Timur"
Fery Antoni," Mantan Wakil Bupati Ogan Komering Ulu Timur"
Masrin Diana," Anggota DPRD Kab. OKU Timur"
Hj. Juniah," Wakil Ketua DPRD Kab. OKU Timur"
Hermanto.," Wakil Ketua DPRD Kab. OKU Timur"
Beni Defitson," Ketua DPRD Kab. OKU Timur"
Linda Wati Syaropi," Anggota DPRD Prov. Sumsel"
Azmi Shofix S.R.," Anggota DPRD Prov. Sumsel"
Syahruddin," Anggota DPRD Prov. Sumsel"
Nilawati," Anggota DPRD Prov. Sumsel"
Leo Budi Rachmadi," Ketua DPD LPM Sumsel"
Mirzan Iqbal," Mantan Anggota DPRD Prov. Sumsel"
