name,status
Fitrianti Agustinda," Wakil Wali Kota Palembang"
Ratu Dewa," Sekretaris Daerah Kota Palembang"
"Hensyi Fitriansyah ","  Pengusaha"
Nasrun Umar," Mantan Sekretaris Daerah Sumsel"
Zainal Abidin," Ketua DPRD Kota Palembang"
Yudha Pratomo," Ketua DPC Partai Demokrat Kota Palembang"
M Hidayat," Ketua Partai Golkar Palembang"
Basyaruddin Ahmad," Kepala Dinas Provinsi Sumatera Selatan"
Charma Aprianto," Pengusaha"
Akbar Alvaro," Anggota DPRD Palembang"
Yusuf Kohar," Mantan Wakil Wali Kota Bandar Lampung"
Mularis Djahri," Pengusaha"
