name,status
Ali Yusuf Siregar," Wakil Bupati Deli Serdang"
Haris Binar Ginting," Mantan Kepala Badan Kesatuan Bangsa dan Politik Kabupaten Deli Serdang"
Hariyanto," Anggota DPRD Sumut"
Ricky Prandana Nasution," Mantan Anggota DPRD Deli Serdang"
Tengku Akhmad Thala'a," Wakil Ketua II DPRD Deli Serdang"
Kamaruzzaman," Anggota DPRD Deli Serdang"
Thomas Darwin Sembiring," Anggota DPRD Deli Serdang"
Nusantara Tarigan Silangit," Wakil Ketua III DPRD Deli Serdang"
Misnan Al Jawi," Anggota DPRD Deli Serdang"
Suparman," Ketua APDESI Sumut"
Anita Lubis," Anggota DPRD Sumut"
