name,status
Oloan Paniaran Nababan," Wakil Bupati Humbang Hasundutan"
Saut Parlindungan Simamora," Mantan Wakil Bupati Humbang Hasundutan"
Marganti Manullang," Mantan Wakil Bupati Humbang Hasundutan"
Brigjen. TNI (Purn.) Dr. Tiarsen Buaton,
Lamhot Sinaga," Anggota DPR RI"
Ramses Lumban Gaol," Ketua DPRD Kab. Humbang Hasundutan"
Manuel Simbolon," Vice-Chairperson of World Student Christian Federation"
Daniel Banjarnahor," Anggota DPRD Kab. Humbang Hasundutan"
Marolop Manik," Wakil Ketua DPRD Kab. Humbang Hasundutan"
Marsono Simamora," Anggota DPRD Kab. Humbang Hasundutan"
Mombang Sihite," CEO PT Azbil Berca Indonesia"
Harry Marbun," Ketua DPD Golkar Humbahas"
