name,status
Jafar Sukhairi Nasution," Bupati Mandailing Natal"
Atika Azmi Utammi," Wakil Bupati Mandailing Natal"
Dahlan Hasan Nasution," Mantan Bupati Mandailing Natal"
Neil Iskandar Daulay," Mantan Anggota DPR RI 2009-14"
Erwin Efendi Nasution," Wakil Ketua II DPRD Mandailing Natal"
Erwin Efendi Lubis," Ketua DPRD Mandailing Natal"
M. Zuhri Musthafa Nasution," Cucu Syeikh Musthafa Husein Al-Mandili"
Wahiddin Arjun Rambe," Ketua DPD PKS Mandailing Natal"
Harminsyah Batubara," Wakil Ketua I DPRD Mandailing Natal"
Fahrizal Efendi Nasution," Anggota DPRD Sumut"
Burhanuddin Siregar," Wakil Bendahara DPD Partai Demokrat Sumut"
H. Aswin Parinduri,"  Ketua DPD Golkar Mandailing Natal"
Saparuddin Haji Lubis," Mantan Cabup Madina 2015"
Bahran Daulay," Ketua Kadin Madina"
Sobir Lubis," Ketua AMPG Madina"
