name,status
Darma Wijaya," Bupati Serdang Berdagai"
Adlin Umar Yusri Tambunan," Wakil Bupati Serdang Berdagai"
Soekirman," Mantan Bupati Serdang Berdagai"
Syahrianto," Mantan Wakil Bupati Serdang Berdagai"
M. Ilham Ritonga," Ketua DPRD Kab. Serdang Bedagai"
M. Riski Ramadhan Hasibuan," Mantan Ketua DPRD Kab. Serdang Bedagai"
Yanti Handayani Siregar," Anggota DPRD Kab. Serdang Bedagai"
Ali M Madhy," Ketua DPD Golkar Serdang Bedagai"
Joni Walker Manik," Ketua DPD Nasdem Serdang Bedagai"
Azmi Yuli Sitorus," Anggota DPRD Prov. Sumut"
Dimas Tri Adji," Anggota DPRD Prov. Sumut"
Misno Adisyah Putra,"  Wakil Ketua DPRD Prov. Sumut"
Loso," Anggota DPRD Prov. Sumut"
