name,status
Radiapoh Hasiholan Sinaga," Bupati Simalungun"
Zonny Waldi," Wakil Bupati Simalungun"
Muhajidin Nur Hasim," Pengusaha"
Gideon Purba," Mantan Sekda Simalungun"
Sastra Joyo Sirait," Wakil Ketua III	DPRD Simalungun"
Timbul Jaya Hamonangan Sibarani," Ketua DPRD Simalungun"
Elias Barus," Wakil Ketua II DPRD Simalungun"
Mangapul Purba," Anggota DPRD Sumut"
Iskandar Sinaga," Anggota DPRD Sumut"
Rony Reynaldo Situmorang," Anggota DPRD Sumut"
Inge Amelia," kakak kandung Walikota Medan Bobby Nasution"
Rusdi Lubis," Anggota DPRD Sumut"
Saut B. Purba," Anggota DPRD Sumut"
Muhammad Jusuf sirait," Pengusaha"
dr Sortaman Saragih," Ketua Bidang Kesehatan Masyarakat DPP Partai Perindo"
