name,status
"Tgk Muhammad Yusuf A Wahab (Tu Sop) "," Ketua Himpunan Ulama Dayah Aceh (HUDA)[2]"
Nova Iriansyah," Mantan Gubernur Aceh"
Mawardi Ali," Mantan Bupati Aceh Besar"
Aminullah Usman," Mantan Wali Kota Banda Aceh[3]"
Muhammad Nasir Djamil," Anggota DPR-RI[4]"
Muzakir Manaf," Mantan Wakil Gubernur Aceh dan Ketua Umum Partai Aceh[5]"
Ramli M.S.," Mantan Bupati Aceh Barat"
M Fadhil Rahmi," Lc."
Sudirman Haji Uma," Anggota DPD-RI"
Sofyan Dawood," Mantan Juru Bicara GAM"
Teuku Muhammad Nurlif," Ketua DPD Partai Golkar Aceh"
Hasballah M. Thaib," Mantan Bupati Aceh Timur"
Muhammad Thaib," Mantan Bupati Aceh Utara"
Azhar Abdurrahman," Anggota DPR Aceh"
Zamzami A. Rani," Mantan Wakil Bupati Aceh Jaya"
Ibnu Hasyim," Mantan Bupati Gayo Lues"
