name,status
Arief Rachadiono Wismansyah," Wali Kota Tangerang 2013-2023"
Achmad Dimyati Natakusumah," Anggota DPR RI"
Haerul Jaman," Anggota DPR RI"
Rano Alfath," Anggota DPR RI[2]"
Rano Karno," Aktor dan Mantan Gubernur Banten"
"Ratu Ageng Rekawati "," Tokoh Budayawan Dan Sosial"
Airin Rachmi Diany," Mantan Wali Kota Tangerang Selatan[3]"
Heryani," Mantan Bupati Pandeglang"
TB Hasanuddin Anggota Komisi I DPR RI.,
Mulyadi Jayabaya," Mantan Bupati Lebak"
Iti Octavia Jayabaya," Bupati Lebak"
Irna Narulita," Bupati Pandeglang"
Ratu Tatu Chasanah," Bupati Serang"
Wahidin Halim," Mantan Gubernur Banten"
