name,status
Rohidin Mersyah," Gubernur Bengkulu"
Rosjonsyah Syahili," Wakil Gubernur Bengkulu"
Sultan Bachtiar Najamudin," Wakil Ketua DPD RI"
Helmi Hasan," Wali Kota Bengkulu 2013-23"
Hidayatullah Sjahid," Bupati Kepahiang"
Mian," Bupati Bengkulu Utara"
Gusnan Mulyadi," Bupati Bengkulu Selatan"
Ferry Ramli," Mantan Bupati Bengkulu Tengah 2012-22"
Ahmad Kanedi," Anggota DPD RI 2014-24"
Dewi Coryati," Anggota DPR RI 2009-24"
Supratman," Mantan Kapolda Bengkulu 2019-20"
Sulaiman Kohar," Wakil Wali Kota Lubuklinggau"
Patrice Rio Capella," Mantan Wakil Ketua DPRD Provinsi Bengkulu periode 2004-09"
