name,status
Anies Baswedan,Gubernur DKI Jakarta (2017–2022)
Ridwan Kamil,Gubernur Jawa Barat (2018–2023)
Ahmad Riza Patria,Wakil Gubernur DKI Jakarta (2020–2022)
Ahmed Zaki Iskandar,Bupati Tangerang (2013–2023)
Gibran Rakabuming Raka,Wali Kota Surakarta (2021–2024)
Hendrar Prihadi,Kepala LKPP RI
Tri Rismaharini,Menteri Sosial (2020–2024)
Basuki Tjahaja Purnama,Komisaris Utama Pertamina
Djarot Saiful Hidayat,Ketua Badan Pengkajian MPR RI
Abdullah Azwar Anas,Menteri PANRB
Nur Mahmudi Ismail,Wali Kota Depok (2006–2016)
Abdul Ghoni,Anggota DPRD DKI Jakarta (2014–2019)
Maman Firmansyah,Anggota DPRD DKI Jakarta (2009–2019)
Zainuddin MH,Anggota DPRD DKI Jakarta (2009–2016)
Jaswandi,Panglima Kodam Jaya (2017–2018)
Didik J. Rachbini,Rektor Universitas Paramadina
Nachrowi Ramli,Ketua Majelis Pertimbangan Tinggi DPP Forkabi
