name,status
Al Haris," Gubernur Jambi"
Abdullah Sani," Wakil Gubernur Jambi"
Cek Endra," Mantan Bupati Sarolangun 2011-22"
Ratu Munawaroh," Istri dari almarhum Zulkifli Nurdin"
Mashuri," Bupati Bungo"
Muhammad Fadhil Arief," Bupati Batanghari"
Syarif Fasha," Wali Kota Jambi 2013-23"
Romi Hariyanto," Bupati Tanjung Jabung Timur"
Sukandar," Mantan Bupati Tebo 2011-16 & 2017-22"
Adirozal," Bupati Kerinci"
Edi Purwanto," Ketua DPRD Jambi"
Sutan Adil Hendra," Anggota DPR RI"
A. Bakri HM," Anggota DPR RI"
Muchlis A.S.," Mantan Kapolda Jambi 2018-20"
