name,status
Ridwan Kamil," Gubernur Jawa Barat 2018 - 2023"
Mochamad Iriawan," Mantan Ketua Umum PSSI dan Mantan Penjabat Gubernur Jawa Barat[3]"
Dedi Mulyadi," Mantan Bupati Purwakarta dan Anggota DPR RI"
Uu Ruzhanul Ulum," Wakil Gubernur Jawa Barat[4]"
Dede Yusuf," Anggota DPR RI dan Mantan Wakil Gubernur Jawa Barat[5]"
Desy Ratnasari," Anggota DPR RI"
Bima Arya Sugiarto," Wali Kota Bogor"
Netty Prasetiyani," Ketua TP PKK Jawa Barat 2008-2018"
Rudy Gunawan," Bupati Garut"
Cellica Nurrachadiana," Bupati Karawang"
Marwan Hamami," Bupati Sukabumi"
Deddy Mizwar," Mantan Wakil Gubernur Jawa Barat"
Ahmad Syaikhu," Presiden PKS"
Doni Monardo," Mantan Kepala BNPB"
Saan Mustopa," Ketua DPW NasDem Jabar"
Ono Surono," Ketua DPD PDIP Jawa Barat"
Iwan Sulandjana," Mantan Ketua DPD Partai Demokrat Jabar"
