name,status
Taj Yasin Maimoen," Wakil Gubernur Jawa Tengah (2018-2023)"
Gibran Rakabuming Raka," Wali Kota Surakarta (PDIP)"
Hendrar Prihadi," Mantan  Wali Kota Semarang (2013-2022) dan Kepala LKPP (2022-sekarang) (PDIP)"
Arief Rohman," Bupati Blora (PKB)"
Abdul Fikri Faqih," Anggota DPR RI (PKS)"
Muhammad Haris," Mantan Wakil Walikota Salatiga (PKS)"
Bambang Wuryanto," Anggota DPR RI (PDIP)"
Yoyok Sukawi," Anggota DPR RI dan CEO PSIS Semarang (Demokrat)"
Dico Ganinduto," Bupati Kendal (Golkar)"
Rustriningsih," Mantan Wakil Gubernur Jawa Tengah"
Sudirman Said," mantan Menteri ESDM"
Marwan Jafar," mantan Menteri Desa"
Muhammad Yusuf Chudlori," Budayawan dan Ulama (PKB)"
Agus Suyitno," mantan Pangdam IV/Diponegoro"
Kusdinar Untung Yuni Sukowati," Bupati Sragen"
