name,status
Khofifah Indar Parawansa," Gubernur Jawa Timur"
Abdul Halim Iskandar," Menteri Desa"
Emil Dardak," Wakil Gubernur Jawa Timur"
Saifullah Yusuf," Wali Kota Pasuruan"
Puti Guntur Soekarno," Anggota DPR RI"
Tri Rismaharini," Menteri Sosial Indonesia"
Abdullah Azwar Anas," Menteri PANRB"
Baddrut Tamam," Bupati Pamekasan"
Djarot Saiful Hidayat," Ketua Badan Pengkajian MPR RI"
La Nyalla Mattalitti," Ketua DPD RI"
Thoriqul Haq," Bupati Lumajang"
Mudjiono," Mantan Kasdam V/Brawijaya"
Achmad Fauzi," Bupati Sumenep."
Eri Cahyadi," Wali Kota Surabaya"
