name,status
Lasarus," Ketua Komisi V DPR RI"
Sutarmidji," Gubernur Kalimantan Barat"
Sujiwo," Wakil Bupati Kubu Raya"
Ria Norsan," Wakil Gubernur Kalimantan Barat"
Karolin Margret Natasa," Mantan Bupati Landak"
Daud yordan," ketua Koni Kayong Utara"
Milton Crosby," Mantan Bupati Sintang"
Suryadman Gidot," Mantan Bupati Bengkayang"
Adrianus Asia Sidot," Anggota DPR RI"
Jarot Winarno," Bupati Sintang"
Muda Mahendrawan," Bupati Kubu Raya"
Martin Rantan," Bupati Ketapang"
Paolus Hadi," Bupati Sanggau"
Edi Rusdi Kamtono," Wali Kota Pontianak"
Maman Abdurrahman," Anggota DPR RI"
Christiandy Sanjaya," Anggota DPD RI"
Syarief Abdullah Alkadrie," Anggota DPR RI"
H. Sunarna," S.E."
Garuda Wiko," Rektor Universitas Tanjungpura"
Hasan Karman," mantan Wali Kota Singkawang"
Tjhai Chui Mie," Wali Kota Singkawang"
