name,status
Muhidin," Wakil Gubernur Kalimantan Selatan"
Zairullah Azhar," Bupati Tanah Bumbu"
Ibnu Sina," Wali Kota Banjarmasin"
Rudy Resnawan," Mantan Wakil Gubernur Kalimantan Selatan"
Hasanuddin Murad," Anggota DPRD Kalsel"
Saidi Mansyur," Bupati Banjar"
Anang Syakhfiani," Bupati Tabalong"
Sayed Jafar Al-Idrus," Bupati Kotabaru"
Aditya Mufti Ariffin," Wali Kota Banjarbaru"
Supian HK," Ketua DPRD Kalsel"
Syaifullah Tamliha," Anggota DPR RI"
Gusti Farid Hasan Aman," Anggota DPD RI"
Abdurrahman Bahasyim," Anggota DPD RI"
Difriadi Darjat," Anggota DPR RI"
Denny Indrayana," Mantan Wakil Menkumham"
Rosehan Noor Bahri," Anggota DPRD Kalsel"
Muhammad Rifqinizamy Karsayuda," Anggota DPR RI"
Khairul Saleh," Anggota DPR RI"
Aboe Bakar Al-Habsyi," Anggota DPR RI"
Hasnuryadi Sulaiman," Anggota DPR RI"
