name,status
Edy Pratowo," Wakil Gubernur Kalimantan Tengah"
Ben Brahim S. Bahat," Bupati Kapuas"
Ujang Iskandar," Mantan Bupati Kotawaringin Barat"
Willy Midel Yoseph," Anggota DPR-RI"
Ismail bin Yahya," Mantan Wakil Gubernur Kalimantan Tengah"
Nadalsyah," Bupati Barito Utara"
Supian Hadi," Mantan Bupati Kotawaringin Timur"
Riban Satia," Mantan Wali Kota Palangka Raya"
Fairid Naparin," Wali Kota Palangka Raya"
Agustiar Sabran," Anggota DPR-RI"
H. Abdul Razak," Wakil Ketua DPRD Kalteng"
Ampera A.Y. Mebas," Bupati Barito Timur"
Perdie M. Yoseph," Bupati Murung Raya"
