name,status
Isran Noor," Gubernur Kalimantan Timur"
Hadi Mulyadi," Wakil Gubernur Kalimantan Timur"
Syaharie Jaang," Mantan Wali Kota Samarinda"
Irjen. Pol. (Purn.) Drs. Safaruddin," Anggota DPR RI"
Makmur H. A. P. K.," Ketua DPRD Kaltim"
Edi Damansyah," Bupati Kutai Kartanegara"
Ardiansyah Sulaiman," Bupati Kutai Timur"
Rahmad Mas'ud," Wali Kota Balikpapan"
Andi Harun," Wali Kota Samarinda"
Rudy Mas'ud," Anggota DPR RI"
Rizal Effendi," Mantan Wali Kota Balikpapan"
Bambang Susantono Kepala Otorita Ibu Kota Nusantara,
Emir Moeis," Mantan Anggota DPR RI"
Dody Rondonuwu," Mantan Wakil Ketua DPRD Provinsi Kalimantan Timur"
