name,status
Erzaldi Rosman Djohan," mantan Gubernur Kepulauan Bangka Belitung"
Abdul Fatah," mantan Wakil Gubernur Kepulauan Bangka Belitung"
Darmansyah Husein," Anggota DPD-RI"
Sahani Saleh," Bupati Belitung"
Sukirman," Bupati Bangka Barat"
Didit Srigusjaya," Ketua DPRD Babel"
Rustam Effendi," Mantan Gubernur Babel"
Yuslih Ihza Mahendra," Mantan Bupati Belitung Timur"
Hidayat Arsani," Mantan Wakil Gubernur Babel"
Muhammad Irwansyah," Mantan Walikota Pangkal Pinang"
Rudianto Tjen," Anggota DPR-RI"
Bambang Patijaya," Anggota DPR-RI"
Maulan Aklil," Walikota Pangkal Pinang"
