name,status
Ansar Ahmad," Gubernur Kepulauan Riau"
Marlin Agustina," Wakil Gubernur Kepulauan Riau"
Aunur Rafiq," Bupati Karimun"
Muhammad Rudi," Wali Kota Batam"
Isdianto," Mantan Gubernur Kepulauan Riau 2020-21"
Suryani," Mantan Anggota DPRD Kepri 2006-20"
Ria Saptarika," Anggota DPD RI 2019-24"
Asman Abnur," Mantan Menteri PANRB 2016-18"
Irwan Nasir," Mantan Bupati Kepulauan Meranti 2010-15 & 2016-21"
Irjen. Pol. (Purn.) Drs. Raja Erizman," Kepala Divisi TIK Kepolisian Negara Republik Indonesia 2019-20"
