name,status
Arinal Djunaidi," Gubernur Lampung"
Chusnunia Chalim," Wakil Gubernur Lampung"
Edward Syah Pernong," Mantan Kapolda Lampung 2015"
Muhammad Ridho Ficardo," Mantan Gubernur Lampung 2014-19"
Taufik Basari," Anggota DPR-RI Fraksi Nasdem"
Herman HN," Mantan Wali Kota Bandar Lampung 2010-15 & 2016-21"
Nanang Ermanto," Bupati Lampung Selatan"
Lisda Hendrajoni," Anggota DPR-RI Fraksi Nasdem"
Dendi Ramadhona," Bupati Pesawaran"
Agus Istiqlal," Bupati Pesisir Barat"
Al Muzzammil Yusuf," Anggota DPR RI"
Irjen. Pol. (Purn.) Dr. H. Ike Edwin," Mantan Staf Ahli Sosial Politik Kapolri"
Umar Ahmad," Mantan Bupati Tulang Bawang Barat 2014-22"
Ade Utami Ibnu," Anggota DPRD Prov. Lampung"
Mukhlis Basri," Anggota DPR RI"
