name,status
Zulkieflimansyah," Gubernur Nusa Tenggara Barat"
Sitti Rohmi Djalilah," Wakil Gubernur Nusa Tenggara Barat"
Suhaili Fadhil Thohir," Mantan Bupati Lombok Tengah"
Fauzan Khalid," Bupati Lombok Barat"
Indah Dhamayanti Putri," Bupati Bima"
Mohan Roliskana," Wali Kota Mataram"
M. Qurais H. Abidin," Mantan Wali Kota Bima"
M. Sukiman Azmy," Bupati Lombok Timur"
Baiq Isvie Rupaeda," Ketua DPRD Nusa Tenggara Barat"
Muhammad Syafrudin," Anggota DPR RI"
Fahri Hamzah," Mantan Wakil Ketua DPR RI"
Brigjen TNI (Purn.) Lalu Rudy Irham Srigede," Mantan Komandan Korem 162/Wira Bhakti"
Bambang Hari Kusumo," Rektor Universitas Mataram"
Zulkifli Muhadli," Mantan Bupati Sumbawa Barat"
