name,status
Syamsuar," Gubernur Riau"
Edy Nasution," Wakil Gubernur Riau"
Arsyadjuliandi Rachman," Anggota DPR RI & Mantan Gubernur Riau"
Syamsurizal," Anggota DPR RI"
Muhammad Wardan," Bupati Indragiri Hilir"
Yopi Arianto," Sekretaris DPW Partai Nasdem Riau"
Irwan Nasir," Mantan Bupati Kepulauan Meranti"
Agung Nugroho," Ketua DPD Demokrat Riau"
Yulisman," Ketua DPRD Prov. Riau"
Alfedri," Bupati Siak"
Muhammad Harris," Mantan Bupati Pelalawan"
Suyatno," Mantan Bupati Rokan Hilir"
Achmad," Anggota DPR RI"
Sukarmis," Ketua DPRD Prov. Riau"
Chairul Anwar," Anggota DPR RI"
Indra Muchlis Adnan," Mantan Bupati Indragiri Hilir"
Zukri Misran," Bupati Pelalawan"
M Fazri Al Banjari,"S Pd.I "
