name,status
Ali Baal Masdar," mantan Gubernur Sulawesi Barat"
Enny Anggraeny Anwar," mantan Wakil Gubernur Sulawesi Barat"
Andi Ibrahim Masdar," Bupati Polewali Mandar"
Muhammad Ali Panangi," Tokoh Nelayan Tradisional Indonesia"
Kalma Katta," Anggota DPRD Sulawesi Barat"
Suhardi Duka," Anggota DPR-RI"
Samsul," S.H. M.Kn (Notaris dan PPAT/ Pengusaha)"
Ramlan Badawi," Bupati Mamasa"
Aras Tammauni," Bupati Mamuju Tengah"
Agus Ambo Djiwa," Mantan Bupati Mamuju Utara 2010-15 & Mantan Bupati Pasangkayu 2016-21"
Irjen. Pol. (Purn.) Drs. Baharuddin Djafar," Mantan Kapolda Sulbar 2017-20"
Iskandar Muda Baharuddin Lopa," Anggota DPD RI"
Prof. Dr. Ir. H. Husain Syam," M.TP."
