name,status
Andi Sudirman Sulaiman," Gubernur Sulawesi Selatan (2022–2023)"
Ilham Arief Sirajuddin," Wali Kota Makassar (2004–2008; 2009–2014)"
Adnan Purichta Ichsan," Bupati Gowa (2016–2024)"
Taufan Pawe," Wali Kota Parepare (2013–2018) (2018–2023)"
Danny Pomanto," Wali Kota Makassar (2014–2019; 2021–2024)"
Indah Putri Indriani," Bupati Luwu Utara (2016–2024)"
Andi Fahsar M. Padjalangi," Bupati Bone (2013–2023)"
Nurdin Halid," Waketum DPP Golkar"
M. Hatta Rahman," Bupati Maros (2011–2021)"
Andi Kaswadi Razak," Bupati Soppeng (2016–2024)"
Mayjen TNI (Purn.) AM Bau Sawa Mappanyukki," Panglima Komando Daerah Militer XIV/Hasanuddin (2022)"
Rusdi Masse Mappasessu," Anggota DPR RI (2019–2024); Bupati Sidenreng Rappang (2008–2018)"
Tamsil Linrung," Anggota DPD RI (2019–2024)"
Abraham Samad," Ketua KPK (2011–2015)"
Amran Sulaiman," Menteri Pertanian Indonesia (2014–2019)"
Anis Matta," Ketua Umum Partai Gelora"
Annar Salahuddin Sampetoding," Pengusaha"
