name,status
Rusdy Mastura," Gubernur Sulawesi Tengah"
Ma'mun Amir," Wakil Gubernur Sulawesi Tengah"
Hidayat Lamakarate," Mantan Sekda Sulteng"
Muhammad Ali Panangi," Tokoh Nelayan Tradisional Indonesia"
Kasman Lassa," Bupati Donggala"
Anwar Hafid," Anggota DPR RI"
Mohamad Irwan Lapatta," Bupati Sigi"
Sigit Purnomo Said," Mantan Wakil Wali Kota Palu"
Adhyaksa Dault," Mantan Ketua Kwartir Nasional Gerakan Pramuka"
Ahmad Ali," Anggota DPR RI"
Muhidin M. Said," Anggota DPR RI"
Nurmawati Dewi Bantilan," Anggota DPD RI"
Mohammad Saleh Bantilan," Mantan Bupati Tolitoli"
Mohammad Lahay,"  Bupati Tojo Una-Una"
S.U. Marunduh," Wakil Bupati Morowali"
Samsurizal Tombolotutu," Bupati Parigi Moutong"
Habir Ponulele," Mantan Bupati Donggala"
Rudi Dewanto," Pj. Sekretaris Daerah Sulawesi Tengah"
