name,status
Lukman Abunawas," Wakil Gubernur Sulawesi Tenggara"
Sulkarnain Kadir," Mantan Wali Kota Kendari"
Tafdil," Bupati Bombana"
Rusda Mahmud," Anggota DPR RI"
Kery Saiful Konggoasa," Mantan Bupati Konawe"
Surunuddin Dangga," Bupati Konawe Selatan"
Ruksamin," Bupati Konawe Utara"
Ridwan Bae," Anggota DPR RI"
Hugua," Anggota DPR RI"
Mayjen TNI (Purn.) Andi Sumangerukka," Mantan Pangdam XIV/Hasanuddin"
Laode Ida," Mantan Komisioner Ombudsman RI"
Tina Nur Alam," Anggota DPR RI"
Abdurrahman Shaleh," Ketua DPRD Sultra"
